#RecordID,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch#
login01.hep.wisc.edu:519657.609,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e024.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.616,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n21.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.620,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e457.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.623,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e348.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.625,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e334.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.628,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n21.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.630,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n16.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.632,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e415.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.634,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e302.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.635,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e380.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.638,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e139.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.644,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e078.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.648,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,g31n26.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.649,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e445.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.650,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e302.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:536975.1,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e111.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.osgconnect.net:1808388.317,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,g27n01.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.osgconnect.net:1808388.353,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,g31n36.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.osgconnect.net:2019847.53,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,g27n30.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.osgconnect.net:2019847.821,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,g22n02.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.osgconnect.net:2297852.236,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,e122.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.osgconnect.net:2368684.76,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,e362.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.osgconnect.net:2890968.543,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,g31n43.hep.wisc.edu (primary),GLOW,GLOW,Success
login01.osgconnect.net:2920200.1,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,g28n09.hep.wisc.edu (primary),GLOW,GLOW,Success
